path,git_status,size_bytes,type,scientific_relevance,should_commit,why,recommended_action
lammps/03_interface_stress/stress_200mpa/run_001_compression_ramp/distance_report_interface_stress_200mpa_compression_ramp.json,untracked,1958,JSON log/stress/dump summary,high,yes,"machine-readable summary/provenance, small",commit: summaries
lammps/03_interface_stress/stress_200mpa/run_001_compression_ramp/dump_summary_interface_stress_200mpa_compression_ramp.json,untracked,259,JSON log/stress/dump summary,high,yes,"machine-readable summary/provenance, small",commit: summaries
lammps/03_interface_stress/stress_200mpa/run_001_compression_ramp/interface_stress_200mpa_compression_ramp_stress_summary.json,untracked,7278,JSON log/stress/dump summary,high,yes,"machine-readable summary/provenance, small",commit: summaries
lammps/03_interface_stress/stress_200mpa/run_001_compression_ramp/log_summary_interface_stress_200mpa_compression_ramp.json,untracked,12323,JSON log/stress/dump summary,high,yes,"machine-readable summary/provenance, small",commit: summaries
lammps/03_interface_stress/stress_200mpa/run_001_compression_ramp/warning_pairs_interface_stress_200mpa_compression_ramp.json,untracked,1912,JSON log/stress/dump summary,high,yes,"machine-readable summary/provenance, small",commit: summaries
lammps/04_ellipsoid_inclusion/trial_001/00_minimize/data.ellipsoid_minimized,untracked,1944504,LAMMPS data structure (raw),medium,maybe,large structure file (MB),decide: Git LFS or keep local
lammps/04_ellipsoid_inclusion/trial_001/00_minimize/dump.ellipsoid_minimize.lammpstrj,untracked,7559243,LAMMPS dump trajectory (raw),medium,no,huge raw trajectory,do NOT commit to plain git; LFS/keep local
lammps/04_ellipsoid_inclusion/trial_001/00_minimize/in.ellipsoid_minimize,untracked,1047,LAMMPS input,high,yes,"input deck, reproducibility, small",commit: LAMMPS inputs
lammps/04_ellipsoid_inclusion/trial_001/00_minimize/log.ellipsoid_minimize.lammps,untracked,6871,LAMMPS log,medium,yes,"run log, reproducibility",commit: LAMMPS logs
lammps/04_ellipsoid_inclusion/trial_001/01_nvt_300k/data.ellipsoid_nvt_300k,untracked,3192525,LAMMPS data structure (raw),medium,maybe,large structure file (MB),decide: Git LFS or keep local
lammps/04_ellipsoid_inclusion/trial_001/01_nvt_300k/dump.ellipsoid_nvt_300k.lammpstrj,untracked,78959755,LAMMPS dump trajectory (raw),medium,no,huge raw trajectory,do NOT commit to plain git; LFS/keep local
lammps/04_ellipsoid_inclusion/trial_001/01_nvt_300k/dump.ellipsoid_nvt_300k_final.lammpstrj,untracked,758954,LAMMPS dump trajectory (raw),medium,no,huge raw trajectory,do NOT commit to plain git; LFS/keep local
lammps/04_ellipsoid_inclusion/trial_001/01_nvt_300k/in.ellipsoid_nvt_300k,untracked,1209,LAMMPS input,high,yes,"input deck, reproducibility, small",commit: LAMMPS inputs
lammps/04_ellipsoid_inclusion/trial_001/01_nvt_300k/log.ellipsoid_nvt_300k.lammps,untracked,13946,LAMMPS log,medium,yes,"run log, reproducibility",commit: LAMMPS logs
lammps/04_ellipsoid_inclusion/trial_001/01_nvt_300k/visual_debug/ellipsoid_nvt_300k_cutaway_half_x.xyz,untracked,487832,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/01_nvt_300k/visual_debug/ellipsoid_nvt_300k_fe_only.xyz,untracked,9076,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/01_nvt_300k/visual_debug/ellipsoid_nvt_300k_inclusion_region.xyz,untracked,44317,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/01_nvt_300k/visual_debug/ellipsoid_nvt_300k_x_center_slice_6A.xyz,untracked,86708,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/01_nvt_300k/visual_debug/ellipsoid_nvt_300k_y_center_slice_6A.xyz,untracked,86540,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/01_nvt_300k/visual_debug/ellipsoid_nvt_300k_z_center_slice_6A.xyz,untracked,57670,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00100_minimize/data.ellipsoid_eigenstrain_epsz_p0p00100_minimized,untracked,3191982,LAMMPS data structure (raw),medium,maybe,large structure file (MB),decide: Git LFS or keep local
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00100_minimize/dump.ellipsoid_eigenstrain_epsz_p0p00100_minimize.lammpstrj,untracked,3097024,LAMMPS dump trajectory (raw),medium,no,huge raw trajectory,do NOT commit to plain git; LFS/keep local
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00100_minimize/dump.ellipsoid_eigenstrain_epsz_p0p00100_minimized_final.lammpstrj,untracked,759476,LAMMPS dump trajectory (raw),medium,no,huge raw trajectory,do NOT commit to plain git; LFS/keep local
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00100_minimize/in.ellipsoid_eigenstrain_epsz_p0p00100_minimize,untracked,1273,LAMMPS input,high,yes,"input deck, reproducibility, small",commit: LAMMPS inputs
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00100_minimize/log.ellipsoid_eigenstrain_epsz_p0p00100_minimize.lammps,untracked,6612,LAMMPS log,medium,yes,"run log, reproducibility",commit: LAMMPS logs
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00100_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00100_cutaway_half_x.xyz,untracked,491586,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00100_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00100_fe_only.xyz,untracked,9086,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00100_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00100_inclusion_region.xyz,untracked,50246,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00100_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00100_x_center_slice_6A.xyz,untracked,86601,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00100_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00100_y_center_slice_6A.xyz,untracked,86743,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00100_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00100_z_center_slice_6A.xyz,untracked,57685,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00250_minimize/data.ellipsoid_eigenstrain_epsz_p0p00250_minimized,untracked,3191891,LAMMPS data structure (raw),medium,maybe,large structure file (MB),decide: Git LFS or keep local
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00250_minimize/dump.ellipsoid_eigenstrain_epsz_p0p00250_minimize.lammpstrj,untracked,3097258,LAMMPS dump trajectory (raw),medium,no,huge raw trajectory,do NOT commit to plain git; LFS/keep local
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00250_minimize/dump.ellipsoid_eigenstrain_epsz_p0p00250_minimized_final.lammpstrj,untracked,759311,LAMMPS dump trajectory (raw),medium,no,huge raw trajectory,do NOT commit to plain git; LFS/keep local
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00250_minimize/in.ellipsoid_eigenstrain_epsz_p0p00250_minimize,untracked,1273,LAMMPS input,high,yes,"input deck, reproducibility, small",commit: LAMMPS inputs
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00250_minimize/log.ellipsoid_eigenstrain_epsz_p0p00250_minimize.lammps,untracked,6620,LAMMPS log,medium,yes,"run log, reproducibility",commit: LAMMPS logs
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00250_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00250_cutaway_half_x.xyz,untracked,491563,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00250_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00250_fe_only.xyz,untracked,9086,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00250_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00250_inclusion_region.xyz,untracked,50246,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00250_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00250_x_center_slice_6A.xyz,untracked,86678,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00250_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00250_y_center_slice_6A.xyz,untracked,86783,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00250_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00250_z_center_slice_6A.xyz,untracked,57644,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00500_minimize/data.ellipsoid_eigenstrain_epsz_p0p00500_minimized,untracked,3191791,LAMMPS data structure (raw),medium,maybe,large structure file (MB),decide: Git LFS or keep local
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00500_minimize/dump.ellipsoid_eigenstrain_epsz_p0p00500_minimize.lammpstrj,untracked,4647168,LAMMPS dump trajectory (raw),medium,no,huge raw trajectory,do NOT commit to plain git; LFS/keep local
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00500_minimize/dump.ellipsoid_eigenstrain_epsz_p0p00500_minimized_final.lammpstrj,untracked,759409,LAMMPS dump trajectory (raw),medium,no,huge raw trajectory,do NOT commit to plain git; LFS/keep local
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00500_minimize/in.ellipsoid_eigenstrain_epsz_p0p00500_minimize,untracked,1273,LAMMPS input,high,yes,"input deck, reproducibility, small",commit: LAMMPS inputs
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00500_minimize/log.ellipsoid_eigenstrain_epsz_p0p00500_minimize.lammps,untracked,6793,LAMMPS log,medium,yes,"run log, reproducibility",commit: LAMMPS logs
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00500_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00500_cutaway_half_x.xyz,untracked,493453,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00500_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00500_fe_only.xyz,untracked,9086,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00500_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00500_inclusion_region.xyz,untracked,50207,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00500_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00500_x_center_slice_6A.xyz,untracked,86637,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00500_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00500_y_center_slice_6A.xyz,untracked,86708,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p00500_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p00500_z_center_slice_6A.xyz,untracked,57640,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p01000_minimize/data.ellipsoid_eigenstrain_epsz_p0p01000_minimized,untracked,3191881,LAMMPS data structure (raw),medium,maybe,large structure file (MB),decide: Git LFS or keep local
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p01000_minimize/dump.ellipsoid_eigenstrain_epsz_p0p01000_minimize.lammpstrj,untracked,3098055,LAMMPS dump trajectory (raw),medium,no,huge raw trajectory,do NOT commit to plain git; LFS/keep local
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p01000_minimize/dump.ellipsoid_eigenstrain_epsz_p0p01000_minimized_final.lammpstrj,untracked,759527,LAMMPS dump trajectory (raw),medium,no,huge raw trajectory,do NOT commit to plain git; LFS/keep local
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p01000_minimize/in.ellipsoid_eigenstrain_epsz_p0p01000_minimize,untracked,1273,LAMMPS input,high,yes,"input deck, reproducibility, small",commit: LAMMPS inputs
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p01000_minimize/log.ellipsoid_eigenstrain_epsz_p0p01000_minimize.lammps,untracked,6618,LAMMPS log,medium,yes,"run log, reproducibility",commit: LAMMPS logs
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p01000_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p01000_cutaway_half_x.xyz,untracked,491904,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p01000_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p01000_fe_only.xyz,untracked,9086,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p01000_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p01000_inclusion_region.xyz,untracked,50246,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p01000_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p01000_x_center_slice_6A.xyz,untracked,86681,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p01000_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p01000_y_center_slice_6A.xyz,untracked,86779,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
lammps/04_ellipsoid_inclusion/trial_001/02_eigenstrain_relax/epsz_p0p01000_minimize/visual_debug/ellipsoid_eigenstrain_epsz_p0p01000_z_center_slice_6A.xyz,untracked,57659,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
results/figures/article_selected/figure_2_flat_interface_200mpa_stress_profile.png,untracked,82185,PNG figure,high,yes,"figure, small",commit: figures
results/figures/article_selected/figure_3_ellipsoid_eigenstrain_energy_final.png,untracked,70751,PNG figure,high,yes,"figure, small",commit: figures
results/figures/article_selected/figure_4_ellipsoid_eigenstrain_min_pair_distance.png,untracked,75577,PNG figure,high,yes,"figure, small",commit: figures
results/figures/article_selected/figure_5_ellipsoid_eigenstrain_alfe_warning_pairs.png,untracked,81654,PNG figure,high,yes,"figure, small",commit: figures
results/figures/article_selected/figure_6_ellipsoid_force_two_norm_final.png,untracked,58378,PNG figure,high,yes,"figure, small",commit: figures
results/figures/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_alfe_warning_pairs.png,untracked,81654,PNG figure,high,yes,"figure, small",commit: figures
results/figures/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_energy_final.png,untracked,70751,PNG figure,high,yes,"figure, small",commit: figures
results/figures/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_force_two_norm_final.png,untracked,58378,PNG figure,high,yes,"figure, small",commit: figures
results/figures/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_min_pair_distance.png,untracked,75577,PNG figure,high,yes,"figure, small",commit: figures
results/figures/interface_trial_001_stress_200mpa_compression_ramp_stress_profile.png,untracked,82185,PNG figure,high,yes,"figure, small",commit: figures
results/figures/interface_trial_001_stress_200mpa_warning_pair_distance_over_time.png,untracked,119775,PNG figure,high,yes,"figure, small",commit: figures
results/tables/article/article_key_results_summary.csv,untracked,1585,CSV results table,high,yes,"numeric results, small",commit: result tables
results/tables/article/simulation_parameters_summary.csv,untracked,1721,CSV results table,high,yes,"numeric results, small",commit: result tables
results/tables/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_epsz_p0p00100_minimized_distance_report.json,untracked,873,JSON distance/summary report,high,yes,"machine-readable summary/provenance, small",commit: summaries
results/tables/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_epsz_p0p00250_minimized_distance_report.json,untracked,737,JSON distance/summary report,high,yes,"machine-readable summary/provenance, small",commit: summaries
results/tables/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_epsz_p0p00500_minimized_distance_report.json,untracked,1005,JSON distance/summary report,high,yes,"machine-readable summary/provenance, small",commit: summaries
results/tables/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_epsz_p0p01000_minimized_distance_report.json,untracked,870,JSON distance/summary report,high,yes,"machine-readable summary/provenance, small",commit: summaries
results/tables/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_series_summary.csv,untracked,1194,CSV results table,high,yes,"numeric results, small",commit: result tables
results/tables/ellipsoid_inclusion/ellipsoid_trial_001_nvt_300k_distance_report.json,untracked,1443,JSON distance/summary report,high,yes,"machine-readable summary/provenance, small",commit: summaries
results/tables/interface_trial_001_stress_000_060_120_147_200mpa_comparison.csv,untracked,1594,CSV results table,high,yes,"numeric results, small",commit: result tables
results/tables/interface_trial_001_stress_200mpa_compression_ramp_stress_profile.csv,untracked,11590,CSV results table,high,yes,"numeric results, small",commit: result tables
results/tables/interface_trial_001_stress_200mpa_warning_pair_distance_over_time.csv,untracked,10367,CSV results table,high,yes,"numeric results, small",commit: result tables
results/tables/interface_trial_001_stress_200mpa_warning_pair_neighborhood.csv,untracked,1598,CSV results table,high,yes,"numeric results, small",commit: result tables
structures/interface/ellipsoid_inclusion/trial_001/data.ellipsoid_trial_001,untracked,1628515,LAMMPS data structure (raw),medium,maybe,large structure file (MB),decide: Git LFS or keep local
structures/interface/ellipsoid_inclusion/trial_001/eigenstrain/epsz_p0p00100/data.ellipsoid_eigenstrain_epsz_p0p00100,untracked,3159073,LAMMPS data structure (raw),medium,maybe,large structure file (MB),decide: Git LFS or keep local
structures/interface/ellipsoid_inclusion/trial_001/eigenstrain/epsz_p0p00100/ellipsoid_eigenstrain_epsz_p0p00100_build_report.json,untracked,1806,JSON build/metadata,high,yes,"machine-readable summary/provenance, small",commit: summaries
structures/interface/ellipsoid_inclusion/trial_001/eigenstrain/epsz_p0p00250/data.ellipsoid_eigenstrain_epsz_p0p00250,untracked,3159073,LAMMPS data structure (raw),medium,maybe,large structure file (MB),decide: Git LFS or keep local
structures/interface/ellipsoid_inclusion/trial_001/eigenstrain/epsz_p0p00250/ellipsoid_eigenstrain_epsz_p0p00250_build_report.json,untracked,1807,JSON build/metadata,high,yes,"machine-readable summary/provenance, small",commit: summaries
structures/interface/ellipsoid_inclusion/trial_001/eigenstrain/epsz_p0p00500/data.ellipsoid_eigenstrain_epsz_p0p00500,untracked,3159073,LAMMPS data structure (raw),medium,maybe,large structure file (MB),decide: Git LFS or keep local
structures/interface/ellipsoid_inclusion/trial_001/eigenstrain/epsz_p0p00500/ellipsoid_eigenstrain_epsz_p0p00500_build_report.json,untracked,1676,JSON build/metadata,high,yes,"machine-readable summary/provenance, small",commit: summaries
structures/interface/ellipsoid_inclusion/trial_001/eigenstrain/epsz_p0p01000/data.ellipsoid_eigenstrain_epsz_p0p01000,untracked,3159073,LAMMPS data structure (raw),medium,maybe,large structure file (MB),decide: Git LFS or keep local
structures/interface/ellipsoid_inclusion/trial_001/eigenstrain/epsz_p0p01000/ellipsoid_eigenstrain_epsz_p0p01000_build_report.json,untracked,1541,JSON build/metadata,high,yes,"machine-readable summary/provenance, small",commit: summaries
structures/interface/ellipsoid_inclusion/trial_001/ellipsoid_trial_001.xyz,untracked,1518133,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
structures/interface/ellipsoid_inclusion/trial_001/ellipsoid_trial_001_build_report.json,untracked,815,JSON build/metadata,high,yes,"machine-readable summary/provenance, small",commit: summaries
structures/interface/ellipsoid_inclusion/trial_001/ellipsoid_trial_001_metadata.json,untracked,540,JSON build/metadata,high,yes,"machine-readable summary/provenance, small",commit: summaries
structures/interface/ellipsoid_inclusion/trial_001/visual_debug/ellipsoid_trial_001_cutaway_half_x.xyz,untracked,512447,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
structures/interface/ellipsoid_inclusion/trial_001/visual_debug/ellipsoid_trial_001_fe_only.xyz,untracked,9066,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
structures/interface/ellipsoid_inclusion/trial_001/visual_debug/ellipsoid_trial_001_inclusion_only.xyz,untracked,38885,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
structures/interface/ellipsoid_inclusion/trial_001/visual_debug/ellipsoid_trial_001_x_center_slice_6A.xyz,untracked,86839,XYZ visual-debug (raw),low,no,regenerable visualization slice,keep local / regenerate
.codex/state/current_context.md,modified (tracked),853,markdown/report doc (tracked),high,yes,handoff state update,commit: documentation update
README.md,modified (tracked),36284,markdown/report doc (tracked),high,yes,content update: 200 MPa + ellipsoid + article incorporated,commit: documentation update
docs/00_index/DOC_INDEX.md,modified (tracked),11836,markdown/report doc (tracked),high,yes,content update: 200 MPa + ellipsoid + article incorporated,commit: documentation update
results/reports/run_report.md,modified (tracked),27771,markdown/report doc (tracked),high,yes,content update: 200 MPa + ellipsoid + article incorporated,commit: documentation update
