claim_id,type,confidence,safe_for_article,claim_en,claim_ru,source_path,source_pointer,caveat
C11,verified_fact,high,yes,"147 MPa and 200 MPa each completed 15000 steps (5000 ramp + 10000 hold), 151 frames, 618 atoms.","147 MPa и 200 MPa выполнены по 15000 шагов (5000 ramp + 10000 hold), 151 кадр, 618 атомов.",docs/interface_trial_001_stress_147mpa_check.md; docs/interface_trial_001_stress_200mpa_check.md,'LAMMPS basic result',
C12,verified_fact,high,yes,No hard overlaps below 1.8 A were detected in any completed stress scenario (pairs_below_1p8 = 0 for 0/60/120/147/200 MPa).,Жёстких overlap ниже 1.8 A не зафиксировано ни в одном завершённом stress-сценарии (pairs_below_1p8 = 0 для 0/60/120/147/200 MPa).,results/tables/interface_trial_001_stress_000_060_120_147_200mpa_comparison.csv,column pairs_below_1p8,
C13,verified_fact,high,yes,No cross-slab Al-Fe contacts below 2.1 A were detected in the 147 and 200 MPa runs (cross_slab_AlFe_below_2p1 = 0).,Cross-slab Al-Fe контактов ниже 2.1 A в прогонах 147 и 200 MPa не обнаружено (cross_slab_AlFe_below_2p1 = 0).,docs/interface_trial_001_stress_147mpa_check.md; docs/interface_trial_001_stress_200mpa_check.md,'Distance checks',
C14,verified_fact,high,only_with_caveat,The Al-Fe warning pair 232-260 is internal to the Fe4Al13 slab and does not collapse monotonically (never below 1.8 A across sampled frames).,Warning-пара Al-Fe 232-260 является внутренней для слоя Fe4Al13 и не схлопывается монотонно (ни в одном кадре не ниже 1.8 A).,docs/interface_trial_001_warning_pairs_check.md; per-MPa check docs,'Warning pair 232-260',"It is a monitor-warning, not proof of interface integrity; not a cross-slab pair."
C15,verified_fact,high,only_with_caveat,"Manual OVITO review of the 120/147/200 MPa flat-interface frames and the ellipsoid baseline found no visible interface detachment, empty gap, atom ejection or whole-block drift.","Ручной OVITO-обзор кадров 120/147/200 MPa и базовой эллипсоидной модели не выявил видимого отрыва интерфейса, пустого зазора, выброса атомов или дрейфа блока.",docs/interface_trial_001_stress_147mpa_check.md; ..._200mpa_check.md; docs/ellipsoid_inclusion/ellipsoid_trial_001_nvt_300k_baseline.md,'OVITO visual review','No visible failure in inspected frames' — NOT proof of stability; screenshots are not saved in the repo.
C16,verified_fact,high,yes,Loading was applied to a 52-atom near-interface Fe4Al13 region; per-atom forces were 0 / -0.00074 / -0.00147 / -0.00180 / -0.00245 eV/A for 0/60/120/147/200 MPa.,Нагрузка прикладывалась к приинтерфейсной области Fe4Al13 из 52 атомов; сила на атом 0 / -0.00074 / -0.00147 / -0.00180 / -0.00245 eV/A для 0/60/120/147/200 MPa.,docs/interface_trial_001_loading_design.md; results/tables/interface_trial_001_loading_force_table.csv,'Force calculation' table,
C17,verified_fact,high,yes,"The flat-interface support is a fixed bottom Al layer (28 fixed atoms, 590 mobile); NVT thermostat acts on mobile atoms only.","Опора плоского интерфейса — фиксированный нижний слой Al (28 фиксированных, 590 подвижных атомов); термостат NVT действует только на подвижные атомы.",docs/interface_trial_001_stress_000_060mpa_check.md,'Common setup',
C18,verified_fact,high,yes,The pure-Al baseline uses the EAM Zhou potential; the interface and inclusion branches use the Jelinek/Groh/Horstemeyer 2012 MEAM (Al-Si-Mg-Cu-Fe) with an explicit Al-Fe cross-term.,Baseline чистого Al использует потенциал EAM Zhou; ветки интерфейса и включения используют MEAM Jelinek/Groh/Horstemeyer 2012 (Al-Si-Mg-Cu-Fe) с явным Al-Fe cross-term.,docs/al_relaxation_check.md; docs/al13fe4_relaxation_check.md,'Потенциал' sections,MEAM is not calibrated/validated for this exact interface/inclusion problem.
C19,verified_fact,high,yes,"The ellipsoid model: Al matrix with a Fe4Al13 ellipsoidal inclusion, box 64.8x64.8x97.2 A, 24259 atoms (24027 Al, 232 Fe), boundary p p p, inclusion axes 12x12x24 A.","Эллипсоидная модель: Al-матрица с эллипсоидным включением Fe4Al13, бокс 64.8x64.8x97.2 A, 24259 атомов (24027 Al, 232 Fe), границы p p p, оси включения 12x12x24 A.",structures/interface/ellipsoid_inclusion/trial_001/ellipsoid_trial_001_metadata.json; ..._build_report.json,JSON fields,Metadata key 'ellipsoid_axes_A'=12x12x24; manuscript/params CSV call these 'semi-axes' (to verify).
C20,verified_fact,high,only_with_caveat,"The ellipsoid unloaded NVT 300 K baseline (5000 steps) reached final T 300.36 K, Dangerous builds 0, min pair 1.99 A, 0 pairs below 1.8 A, and 8 Al-Fe pairs below 2.1 A.","Базовый ненагруженный NVT 300 K эллипсоида (5000 шагов): финальная T 300.36 K, Dangerous builds 0, min pair 1.99 A, 0 пар ниже 1.8 A, 8 пар Al-Fe ниже 2.1 A.",docs/ellipsoid_inclusion/ellipsoid_trial_001_nvt_300k_baseline.md,'Main result',The 8 Al-Fe pairs below 2.1 A are warning-level contacts to monitor; unloaded thermal baseline only.
C21,verified_fact,high,yes,"The eigenstrain series (eps_z = 0.0010/0.0025/0.0050/0.0100; eps_x=eps_y=-0.5 eps_z) passed script-level sanity (no ERROR/nan/lost/fatal, Dangerous 0, no pairs below 1.8 A).","Серия eigenstrain (eps_z = 0.0010/0.0025/0.0050/0.0100; eps_x=eps_y=-0.5 eps_z) прошла script-level sanity (без ERROR/nan/потери/fatal, Dangerous 0, нет пар ниже 1.8 A).",docs/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_series_check.md; results/tables/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_series_summary.csv,'Summary' + table,Minimize-only (no NVT after each eigenstrain case).
C22,verified_fact,high,only_with_caveat,The eps_z = 0.0100 eigenstrain case remained script-sane but had the largest final force residual and is retained as a numerical stress-test point.,"Случай eps_z = 0.0100 остался script-sane, но имел наибольший финальный force residual и сохранён как numerical stress-test point.",docs/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_series_check.md,'Verdict',"Treat as a numerical stress-test, not a physical claim."
C23,verified_fact,medium,yes,The ellipsoid build introduced an artificial initial clearance of 2.2 A between inclusion and matrix.,Сборка эллипсоида ввела искусственный начальный зазор 2.2 A между включением и матрицей.,structures/interface/ellipsoid_inclusion/trial_001/ellipsoid_trial_001_build_report.json,field clearance_A,Artificial clearance is a known geometric limitation of the surrogate.
D01,derived_metric,high,only_with_caveat,"Per-atom stress is reported as a comparative virial proxy (compute stress/atom NULL virial), not an absolute stress field.","Напряжение на атом приводится как comparative virial proxy (compute stress/atom NULL virial), а не абсолютное поле напряжений.",docs/interface_trial_001_stress_147mpa_check.md; docs/interface_trial_001_time_averaged_stress.md,'Stress profile' notes,Never present as experimentally validated absolute stress.
D02,derived_metric,high,only_with_caveat,"The largest absolute hydrostatic stress proxy appears near the fixed-bottom support (z=5-10 A, about -4.18..-4.19 GPa), interpreted as a boundary-condition artifact.","Наибольший по модулю гидростатический proxy наблюдается у фиксированной нижней опоры (z=5-10 A, около -4.18..-4.19 GPa) и трактуется как артефакт граничного условия.",docs/interface_trial_001_stress_120mpa_check.md; ..._147mpa_check.md; ..._200mpa_check.md,'Highest absolute hydrostatic proxy',Likely artifact; do not present as a physical interface maximum.
D03,derived_metric,medium,only_with_caveat,Time-averaging over the long unloaded NVT reduces the interface-near hydrostatic proxy magnitude relative to the single-frame diagnostic.,Усреднение по времени по длинному ненагруженному NVT уменьшает модуль приинтерфейсного гидростатического proxy по сравнению с однокадровой диагностикой.,docs/interface_trial_001_time_averaged_stress.md,section 6 deltas,Diagnostic comparison only.
D04,derived_metric,medium,only_with_caveat,"Near the interface the Al-slab number density drops by about 39% relative to bulk-like Al; the visible gaps are likely a visualization/structure artifact, not a confirmed void.","У интерфейса плотность Al-слоя падает примерно на 39% относительно объёмного Al; видимые зазоры скорее артефакт визуализации/структуры, чем подтверждённая пустота.",docs/interface_trial_001_contact_density_check.md,section 4 + verdict,Not a confirmed physical interface void; needs visual confirmation.
I01,interpretation,high,yes,The magnetic field is NOT modeled; its effect is replaced by mechanical surrogates (near-interface loading for the flat model; imposed inclusion eigenstrain for the ellipsoid).,Магнитное поле НЕ моделируется; его действие заменено механическими суррогатами (приинтерфейсная нагрузка для плоской модели; заданный eigenstrain включения для эллипсоида).,README.md; docs/article/eigenstrain_model.md,README sec 3.2; eigenstrain 'Limitation',Core honesty statement; must appear in the article.
I02,interpretation,high,yes,"The primary outcome is a reproducible controlled MD workflow (geometry build, minimization, equilibration, controlled perturbation, sanity checks, visual review, summary), not a final quantitative stress prediction.","Основной результат — воспроизводимый controlled MD-пайплайн (сборка, минимизация, равновесие, контролируемое воздействие, sanity-проверки, визуальный обзор, сводка), а не финальный количественный прогноз напряжений.",docs/article/final_manuscript_v1.md,"sections 7,9",Frame the contribution as methodological.
L01,limitation,high,yes,This work does not claim final physical validation of the Al/Fe4Al13 interface or inclusion behavior.,Работа не заявляет финальной физической валидации поведения интерфейса/включения Al/Fe4Al13.,all check docs; docs/60_milestones/2026-05-14_article_ready_checkpoint.md,'Important caveat' sections,State explicitly in Abstract and Limitations.
L02,limitation,high,yes,No experimental or microscopy comparison has been performed.,Сравнение с экспериментом / микроскопией не проводилось.,docs/article/final_manuscript_v1.md,section 8 limitations,
L03,limitation,high,yes,No validated defect/dislocation (e.g. DXA/CNA) analysis has been performed.,Валидированный анализ дефектов/дислокаций (например DXA/CNA) не проводился.,docs/article/final_manuscript_v1.md,section 8 limitations,
L04,limitation,high,yes,Only a single flat-interface trial (trial_001) and a single ellipsoid trial (trial_001) were studied; no alternative orientations or inclusion sizes were tested.,Изучены только один плоский интерфейс (trial_001) и один эллипсоид (trial_001); альтернативные ориентации и размеры включения не тестировались.,git working tree (single trial_001 dirs),structures/interface/*/trial_001 only,Single-trial limitation.
L05,limitation,medium,yes,"Loading protocols are not uniform across scenarios (0 MPa = 5000 steps, 60 MPa = 10000, 120/147/200 MPa = 15000).","Протоколы нагрузки не одинаковы между сценариями (0 MPa = 5000 шагов, 60 MPa = 10000, 120/147/200 MPa = 15000).",docs/interface_trial_001_stress_000_060mpa_check.md; per-MPa docs,protocol lines,State so the comparison is read correctly.
L06,limitation,high,yes,Fixed-box slab pressure remains negative on average and a large triclinic skew persists in the flat-interface model.,"Давление fixed-box slab остаётся в среднем отрицательным, а большой triclinic skew сохраняется в плоской модели.",docs/interface_trial_001_nvt_check.md; docs/interface_trial_001_check.md,pressure/skew notes,
U01,hypothesis_unsafe,high,no,DO NOT claim the interface strength was proven or the interface is physically validated.,"НЕЛЬЗЯ заявлять, что прочность интерфейса доказана или интерфейс физически валидирован.",n/a (prohibited),framing rule,Use 'controlled sanity-run' / 'no visible failure in inspected frames'.
U02,hypothesis_unsafe,high,no,DO NOT present the virial stress values as experimentally validated absolute stresses.,НЕЛЬЗЯ представлять virial-напряжения как экспериментально подтверждённые абсолютные напряжения.,n/a (prohibited),framing rule,Use 'comparative virial proxy'.
U03,hypothesis_unsafe,high,no,DO NOT claim confirmation by microscopy or experiment.,НЕЛЬЗЯ заявлять подтверждение микроскопией или экспериментом.,n/a (prohibited),framing rule,No experimental comparison was done.
U04,hypothesis_unsafe,high,no,DO NOT claim the material withstands 200 MPa or that 200 MPa is a validated strength; it is a numerical upper-bound probe.,"НЕЛЬЗЯ заявлять, что материал выдерживает 200 MPa или что 200 MPa — подтверждённая прочность; это численный upper-bound probe.",docs/interface_trial_001_stress_200mpa_check.md,'Status' framing,Upper-bound / failure-probe wording only.
U05,hypothesis_unsafe,high,no,DO NOT claim the ellipsoid eigenstrain model proves real magnetostriction or real inclusion behavior.,"НЕЛЬЗЯ заявлять, что eigenstrain-модель эллипсоида доказывает реальную магнитострикцию или реальное поведение включения.",docs/article/eigenstrain_model.md,'Limitation',"It is a numerical surrogate, not a calibrated magnetic model."
U06,hypothesis_unsafe,high,no,DO NOT claim a defect/dislocation mechanism was established.,"НЕЛЬЗЯ заявлять, что установлен механизм дефектов/дислокаций.",n/a (prohibited),framing rule,No validated defect analysis was done.
U07,hypothesis_unsafe,high,no,DO NOT cite OVITO screenshots as present evidence; the suggested screenshot folders are not saved in the repository.,НЕЛЬЗЯ ссылаться на OVITO-скриншоты как на имеющиеся доказательства; предложенные папки скриншотов в репозитории не сохранены.,docs/interface_trial_001_stress_147mpa_check.md (suggested paths); git status (absent),missing ovito_review_* dirs,"If needed for submission, screenshots must be attached manually."
R01,reference_to_verify,medium,only_with_caveat,"Feng et al. 2023, mechanism of Fe-rich intermetallic compound formation in high-Fe Al alloys (ScienceDirect).","Feng et al. 2023, механизм образования богатых Fe интерметаллидов в высокожелезистых Al-сплавах (ScienceDirect).",docs/article/references.md,ref 6,Literature reference carried from repo; independently unverified in this audit -> 'References to verify'.
R02,reference_to_verify,medium,only_with_caveat,"Que et al. 2024, Al13Fe4 and grain refinement / Fe-containing IMCs in Al alloys (Brunel repository).","Que et al. 2024, Al13Fe4 и измельчение зерна / Fe-содержащие IMC в Al-сплавах (репозиторий Brunel).",docs/article/references.md,ref 7,Literature reference carried from repo; independently unverified -> 'References to verify'.
R03,reference_to_verify,medium,only_with_caveat,SpringerMaterials Al13Fe4 / Fe4Al13 crystal structure entry.,"SpringerMaterials, запись о кристаллической структуре Al13Fe4 / Fe4Al13.",docs/article/references.md,ref 5,Phase-context reference; verify citation details before submission.
